Description,Account,Amount,DID,AID
HARMONS - OREM OREM UT 248707  09/16,Groceries,26.29,151,568
HARMONS - OREM OREM UT 259663  09/16,Groceries,11,151,568
HARMONS - OREM OREM UT 261714  11/29,Groceries,9.55,151,568
HARMONS - OREM OREM UT 274521  09/28,Groceries,4.12,151,568
HARMONS - OREM OREM UT 332484  10/25,Groceries,5.15,151,568
HARMONS - OREM OREM UT 368678  11/30,Groceries,1.61,151,568
HARMONS - OREM OREM UT 410064  12/13,Groceries,1.03,151,568
HARMONS - OREM OREM UT 414515  11/30,Groceries,4.6,151,568
HARMONS - OREM OREM UT 444818  12/13,Groceries,12.12,151,568
HARMONS - OREM OREM UT 506262  11/08,Groceries,3.45,151,568
HARMONS - OREM OREM UT 518389  11/08,Groceries,5.22,151,568
HARMONS - OREM OREM UT 559711  10/12,Groceries,5.15,151,568
HARMONS - OREM OREM UT 621395  11/09,Groceries,4.74,151,568
HARMONS - OREM OREM UT 659649  10/04,Groceries,11.1,151,568
HARMONS - OREM OREM UT 683573  09/20,Groceries,3.43,151,568
HARMONS - OREM OREM UT 701601  11/23,Groceries,3.03,151,568
HARMONS - OREM OREM UT 706070  04/14,Groceries,9.81,151,568
HARMONS - OREM OREM UT 764727  10/04,Groceries,8.47,151,568
HARMONS - OREM OREM UT 783915  10/28,Supplies,51.61,151,553
HARMONS - OREM OREM UT 787925  10/24,Supplies,26.59,151,553
HARMONS - OREM OREM UT 816502  04/18,Supplies,9.8,151,553
HARMONS - OREM OREM UT 885530  12/06,Groceries,17.48,151,568
HARMONS - OREM OREM UT 939189  08/31,Groceries,8.22,151,568
HARMONS - OREM OREM UT 975313  12/30,Groceries,11.68,151,568
HARMONS - S. JORDAN S. JORDAN UT 317319  07/30,Groceries,1.53,151,568
HARMONS - S. JORDAN S. JORDAN UT 627330  05/29,Groceries,12.1,151,568
HARMONS - S. JORDAN S. JORDAN UT 780993  07/23,Groceries,30.17,151,568
HARMONS - S. JORDAN S. JORDAN UT 789057  07/16,Groceries,52.25,151,568
HARMONS DISTRICT S. JORDAN UT 605380  08/06,Meals and Entertainment,5.24,151,539
HENRIE'S DRIVE IN PANGUITCH UT 06/22,Meals and Entertainment,14.6,152,539
HiSmile 041211 01/02,Employee Benefits,51.99,153,530
HOBBYLOBBY 360 WEST UN OREM UT 929355  12/10,Personal,3.21,154,541
HOLIDAY # 53 SOUTH JORDAN UT 006171  04/25,Gas,20,155,516
HOLIDAY # 53 SOUTH JORDAN UT 212088  08/23,Gas,27.25,155,516
HOLIDAY # 53 SOUTH JORDAN UT 335281  05/07,Gas,28.98,155,516
HOLIDAY # 53 SOUTH JORDAN UT 558341  03/19,Gas,30.18,155,516
HOLIDAY # 53 SOUTH JORDAN UT 592194  06/02,Gas,20.69,155,516
HOLIDAY # 53 SOUTH JORDAN UT 621608  07/06,Gas,3.18,155,516
HOLIDAY # 53 SOUTH JORDAN UT 656298  06/27,Gas,3.18,155,516
HOLIDAY # 53 SOUTH JORDAN UT 674141  07/17,Gas,11.75,155,516
HOLIDAY # 53 SOUTH JORDAN UT 684479  06/27,Gas,25.07,155,516
HOLIDAY # 53 SOUTH JORDAN UT 695597  08/05,Gas,3.61,155,516
HOLIDAY # 53 SOUTH JORDAN UT 906279  11/23,Gas,34.73,155,516
HOLIDAY OIL #07 DRAPER UT 665344  08/08,Gas,40.13,155,516
HOLIDAY OIL #15 OREM UT 042893  06/24,Gas,21.9,155,516
HOLIDAY OIL #15 OREM UT 044753  03/14,Gas,22.8,155,516
HOLIDAY OIL #15 OREM UT 045268  03/29,Gas,21.92,155,516
HOLIDAY OIL #15 OREM UT 08/09 Purchase $3.45 Cash Back $,Gas,3.5,155,516
HOLIDAY OIL #15 OREM UT 121103  11/28,Gas,1.49,155,516
HOLIDAY OIL #15 OREM UT 221165  11/29,Gas,20.23,155,516
HOLIDAY OIL #15 OREM UT 254528  08/03,Gas,14.86,155,516
HOLIDAY OIL #15 OREM UT 255290  09/13,Gas,15.86,155,516
HOLIDAY OIL #15 OREM UT 278367  07/02,Gas,24.91,155,516
HOLIDAY OIL #15 OREM UT 368667  02/19,Gas,1.81,155,516
HOLIDAY OIL #15 OREM UT 374235  09/24,Gas,25.18,155,516
HOLIDAY OIL #15 OREM UT 439040  07/23,Gas,1.81,155,516
HOLIDAY OIL #15 OREM UT 446599  02/25,Gas,25.75,155,516
HOLIDAY OIL #15 OREM UT 476018  09/17,Gas,23.87,155,516
HOLIDAY OIL #15 OREM UT 615304  07/27,Gas,18.25,155,516
HOLIDAY OIL #15 OREM UT 820445  12/07,Gas,8.08,155,516
HOLIDAY OIL #15 OREM UT 891128  09/10,Gas,30.18,155,516
HOLIDAY OIL #15 OREM UT 899312  08/31,Gas,2.76,155,516
HOLIDAY OIL #15 OREM UT 942272  09/09,Gas,3.61,155,516
HOLIDAY OIL #15 OREM UT 947658  06/10,Gas,3.33,155,516
HOLIDAY OIL #15 OREM UT 986588  11/26,Gas,1.49,155,516
HOLIDAY OIL #15 OREM UT 993237  03/22,Gas,25.35,155,516
HOLIDAY OIL #47 AMERICAN FORK UT 305346  03/28,Gas,3.61,155,516
HOMESTEAD RESORT HOT 888-3277220 UT          03/05,Travel,248.08,156,558
HOMESTEAD RESORT HOT 888-3277220 UT          03/17,Travel,248.08,156,558
HONEYBAKED HAM #0603 OREM UT 12/23,Supplies,93.93,157,553
HONEYDUKES UNIVERSAL CTY CA 10/19,Meals and Entertainment,32.74,158,539
HUNTS ACCOUNTING INC. RIVERTON U T            03/28,Legal & Professional Fees,110,159,538
HYATT HOUSE SLC DOWN SALT LAKE C IT UT        08/12,Travel,179.03,160,558
IBI*FABLETICS.COM 855-2023570 CA 01/09,Clothing,15.64,161,525
IBI*FABLETICS.COM 855-2023570 CA 01/10,Clothing,49.95,161,525
IBI*FABLETICS.COM 855-2023570 CA 02/09,Clothing,49.95,161,525
IBI*FABLETICS.COM 855-2023570 CA 05/07,Clothing,49.95,161,525
IBI*FABLETICS.COM 855-2023570 CA 07/06,Clothing,49.95,161,525
IBI*FABLETICS.COM 855-2023570 CA 07/06,Clothing,49.95,161,525
IBI*FABLETICS.COM 855-2023570 CA 07/09,Clothing,12.32,161,525
IBI*FABLETICS.COM 855-2023570 CA 07/27,Clothing,51.4,161,525
IBI*FABLETICS.COM 855-2023570 CA 08/08,Clothing,49.95,161,525
IBI*FABLETICS.COM 855-2023570 CA 10/07,Clothing,49.95,161,525
IBI*FABLETICS.COM 855-2023570 CA 11/08,Clothing,49.95,161,525
IBI*FABLETICS.COM 855-2023570 CA 11/28,Clothing,37.01,161,525
ICEBERG OREM 8012261611 UT 07/22,Meals and Entertainment,17.42,162,539
IHOP 1730     00017301 OREM UT 11/19,Meals and Entertainment,27.97,163,539
ILP/MCKEE SCHOOL SALE PPD ID: 9215986202,Charitable Contributions,2390,164,567
IN *ILP/MCKEE SCHOOLS 801-374885 4 UT         01/08,Charitable Contributions,174.07,164,567
IN *ILP/MCKEE SCHOOLS 801-374885 4 UT         10/26,Charitable Contributions,109.18,164,567
IN *ILP/MCKEE SCHOOLS 801-374885 4 UT         10/26,Charitable Contributions,109.18,164,567
IN *SODALICIOUS INC (OR OREM UT 01/30,Meals and Entertainment,4.56,165,539
IN *SODALICIOUS INC (OR OREM UT 03/22,Meals and Entertainment,4.41,165,539
IN *SODALICIOUS INC (OR OREM UT 04/23,Meals and Entertainment,4.29,165,539
IN *SODALICIOUS INC (OR OREM UT 05/01,Meals and Entertainment,6.85,165,539
IN *SODALICIOUS INC (OR OREM UT 05/09,Meals and Entertainment,4.29,165,539
IN *SODALICIOUS INC (OR OREM UT 05/13,Meals and Entertainment,2.52,165,539
IN *SODALICIOUS INC (OR OREM UT 05/19,Meals and Entertainment,4.83,165,539
IN *SODALICIOUS INC (OR OREM UT 06/05,Meals and Entertainment,5.37,165,539
IN *SODALICIOUS INC (OR OREM UT 07/24,Meals and Entertainment,4.83,165,539
IN *SODALICIOUS INC (OR OREM UT 08/08,Meals and Entertainment,5.37,165,539
IN *SODALICIOUS INC (OR OREM UT 08/24,Meals and Entertainment,2.53,165,539
IN N OUT BURGER 140 MARINA DEL R E CA         10/21,Meals and Entertainment,20.41,166,539
IN N OUT BURGER 235 OREM UT 07/04,Meals and Entertainment,12.03,166,539
IN N OUT BURGER 235 OREM UT 07/17,Meals and Entertainment,9.41,166,539
IN N OUT BURGER 236 DRAPER UT 01/29,Meals and Entertainment,5.82,166,539
INBALANCE YOGA OREM UT 01/09,Advertising,109,16,513
INBALANCE YOGA OREM UT 01/18,Advertising,16,16,513
INBALANCE YOGA OREM UT 01/26,Advertising,20,16,513
INBALANCE YOGA OREM UT 02/15,Advertising,125,16,513
INBALANCE YOGA OREM UT 03/15,Advertising,125,16,513
INBALANCE YOGA OREM UT 04/15,Advertising,125,16,513
INBALANCE YOGA OREM UT 05/15,Advertising,125,16,513
INBALANCE YOGA OREM UT 06/15,Advertising,125,16,513
INBALANCE YOGA OREM UT 07/15,Advertising,125,16,513
INBALANCE YOGA OREM UT 08/02,Advertising,125,16,513
INBALANCE YOGA OREM UT 09/02,Advertising,125,16,513
INCITE TAX & ACCOUNTIN 801-99982 95 UT        03/15,Legal & Professional Fees,435,167,538
INCITE TAX & ACCOUNTIN 801-99982 95 UT        03/20,Legal & Professional Fees,385,167,538
INCITE TAX AND ACCOUNTI SANDY UT 03/21,Accounting,365,167,512
INDIEGOGO STRIPE.COM CA 07/27,Bank Charges,23,168,522
INSOMNIA COOKIES KNOXVILLE TN 07/31,Business Trip,9.61,169,524
INTERMOUNTAIN MEDICAL C MURRAY U T            02/15,Meals and Entertainment,6.43,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            02/20,Meals and Entertainment,5.65,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            02/20,Meals and Entertainment,3.51,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            02/24,Meals and Entertainment,3.75,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            03/09,Meals and Entertainment,4.38,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            03/18,Meals and Entertainment,5.65,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            03/22,Meals and Entertainment,3.69,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            03/23,Meals and Entertainment,5.11,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            03/25,Meals and Entertainment,2.87,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            04/01,Meals and Entertainment,4.14,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            04/01,Meals and Entertainment,3.32,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            04/01,Meals and Entertainment,2.88,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            04/05,Meals and Entertainment,6.49,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            04/08,Meals and Entertainment,3.08,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            04/08,Meals and Entertainment,2.44,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            04/12,Meals and Entertainment,3.51,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            04/12,Meals and Entertainment,2.88,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            04/19,Meals and Entertainment,3.76,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            04/22,Meals and Entertainment,6.44,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            04/26,Meals and Entertainment,5.86,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            04/29,Meals and Entertainment,5.03,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            05/06,Meals and Entertainment,3.4,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            05/17,Meals and Entertainment,3.17,170,539
INTERMOUNTAIN MEDICAL C MURRAY U T            05/24,Meals and Entertainment,7.56,170,539
JACK & JILL LANES AMERICAN FORK UT           09/18,Meals and Entertainment,24,171,539
JAMBA JUICE 0222 OREM UT 04/06,Meals and Entertainment,7,172,539
JAMBA JUICE 0222 OREM UT 04/20,Meals and Entertainment,7,172,539
"JANE, LLC 801-382-8585 UT 11/05",Clothing,39.34,173,525
JCPENNEY 2911 SOUTH JORDAN UT 06/04,Clothing,43.94,174,525
JCWS RESTAURANT RIVER SOUTH JORD AN UT        05/05,Meals and Entertainment,13.17,175,539
JETTY INSURANCE HTTPSJETTY.CO NY 01/15,Insurance,13.16,176,534
JETTY INSURANCE HTTPSJETTY.CO NY 02/15,Insurance,13.16,176,534
JETTY INSURANCE HTTPSJETTY.CO NY 03/15,Insurance,13.16,176,534
JETTY INSURANCE HTTPSJETTY.CO NY 04/15,Insurance,13.16,176,534
JETTY INSURANCE HTTPSJETTY.CO NY 05/15,Insurance,13.16,176,534
JETTY INSURANCE HTTPSJETTY.CO NY 06/17,Insurance,13.16,176,534
JETTY INSURANCE HTTPSJETTY.CO NY 07/15,Insurance,13.2,176,534
JETTY INSURANCE HTTPSJETTY.CO NY 08/05,Insurance,13.22,176,534
JETTY INSURANCE HTTPSJETTY.CO NY 09/18,Insurance,13.14,176,534
JETTY INSURANCE HTTPSJETTY.CO NY 10/15,Insurance,13.16,176,534
JETTY INSURANCE HTTPSJETTY.CO NY 11/15,Insurance,13.16,176,534
JETTY INSURANCE HTTPSJETTY.CO NY 12/15,Insurance,13.16,176,534
JIFFY LUBE #2525 RIVERTON UT 194400  02/06,Repair,255.59,177,520
JIMMY JOHNS - 1609 - 801-214-338 0 UT         10/05,Meals and Entertainment,9.29,178,539
JINYA RAMEN BAR MURRAY UT 08/05,Meals and Entertainment,36.69,179,539
JOANN FABRIC #1756 OREM UT 01/10,Supplies,16.01,180,553
JOANN STORES #1756 OREM UT 09/13,Supplies,97.63,180,553
JUICE N JAVA OREM OREM UT 03/28,Meals and Entertainment,7,181,539
JUICE N JAVA OREM OREM UT 05/02,Meals and Entertainment,11.45,181,539
JUICE N JAVA OREM OREM UT 08/06,Meals and Entertainment,10.3,181,539
JUICE N JAVA OREM OREM UT 08/29,Meals and Entertainment,6.65,181,539
JUICE N JAVA OREM OREM UT 09/18,Meals and Entertainment,6,181,539
JUICE N JAVA OREM OREM UT 12/01,Meals and Entertainment,6.04,181,539
JUMPING WORLD LLC MEMPHIS TN 07/28,Business Trip,98.33,182,524
KB EXPRESS 8 PAROWAN UT 831464  10/22,Gas,31.02,183,516
KFC/AW #517 OREM UT 01/31,Meals and Entertainment,5.91,184,539
KNEADERS BAKERY & CAF SOUTH JORD AN UT        01/09,Meals and Entertainment,17.54,185,539
KNEADERS FT UNION MIDVALE UT 09/17,Meals and Entertainment,10,185,539
KNEADERS OF CITY CRE SALT LAKE C TY UT        02/01,Meals and Entertainment,5.19,185,539
KNEADERS OF CITY CRE SALT LAKE C TY UT        08/12,Meals and Entertainment,6.77,185,539
KNEADERS OF DRAPER DRAPER UT 03/23,Meals and Entertainment,12.94,185,539
KNEADERS OF LEHI LEHI UT 10/07,Meals and Entertainment,8.85,185,539
KNEADERS OF SOUTH JOR SOUTH JORD AN UT        11/21,Meals and Entertainment,6.48,185,539
KNEADERS OF ST GEORGE ST GEORGE UT           02/09,Meals and Entertainment,19.49,185,539
KNEADERS OREM OREM UT 09/18,Meals and Entertainment,8.82,185,539
KNEADERS RIVERWOODS PROVO UT 04/13,Meals and Entertainment,8.85,185,539
KNEADERS RIVERWOODS PROVO UT 09/05,Meals and Entertainment,21,185,539
KNEADERS RIVERWOODS PROVO UT 10/09,Meals and Entertainment,3.87,185,539
KNEADERS RIVERWOODS PROVO UT 11/17,Meals and Entertainment,9.68,185,539
KNEADERS RIVERWOODS PROVO UT 11/22,Meals and Entertainment,9.68,185,539
KNOXVILLE 0618A ALCOA TN 08/04,Business Trip,3.62,186,524
KOHINOOR LLC OREM UT 01/21,Meals and Entertainment,20.6,187,539
KOHINOOR LLC OREM UT 01/30,Meals and Entertainment,16.01,187,539
KOHINOOR LLC OREM UT 03/28,Meals and Entertainment,18.16,187,539
KOHINOOR LLC OREM UT 04/25,Meals and Entertainment,36.28,187,539
KOHLS 1285 1281 S 800 OREM UT 747903  11/20,Clothing,69.43,188,525
KRISPY KREME #1292 OREM UT 03/17,Meals and Entertainment,12.98,189,539
KRISPY KREME #1292 OREM UT 04/15,Meals and Entertainment,8.05,189,539
KRISPY KREME #1292 OREM UT 07/02,Meals and Entertainment,12.93,189,539
KRISPY KREME #1292 OREM UT 07/03,Meals and Entertainment,16.16,189,539
KRISPY KREME #1292 OREM UT 08/07,Meals and Entertainment,8.02,189,539
KRISPY KREME #1292 OREM UT 09/02,Meals and Entertainment,12.98,189,539
KRISPY KREME #1292 OREM UT 10/31,Meals and Entertainment,12.93,189,539
KRISPY KREME #1292 OREM UT 10/31,Meals and Entertainment,12.98,189,539
KRISPY KREME #1292 OREM UT 11/10,Meals and Entertainment,20.96,189,539
KUM & GO #23 NEOLA IA 300952  07/18,Business Trip,9.59,190,524
LA CASITA SPRINGVILLE UT 02/02,Meals and Entertainment,25.61,191,539
LA JOLLA GROVES 8012245111 UT 05/08,Meals and Entertainment,43.86,192,539
LAGOON Q08         Q08 FARMINGTO N UT         06/13,Meals and Entertainment,31.2,193,539
LAGOON Q08         Q08 FARMINGTO N UT         06/13,Meals and Entertainment,12.88,193,539
LAGOON Q08         Q08 FARMINGTO N UT         06/13,Meals and Entertainment,12,193,539
LAGOON Q08 FARMINGTON UT 833860  06/13,Meals and Entertainment,179.35,193,539
LAIE FOODLAND #3 55-51 LAIE HI 621376  10/02,Meals and Entertainment,8.45,194,539
LAKEVIEW FAMILY MEDICIN OREM UT 04/06,Employee Benefits,128.02,195,530
LARD LAD DONUTS UNIVERSAL CTY CA 10/19,Meals and Entertainment,6.56,196,539
LASH AFFAIR 999-9999999 CT 03/10,Eye Lash,66.98,197,546
LASH AFFAIR 999-9999999 CT 03/26,Eye Lash,47.98,197,546
LASH AFFAIR 999-9999999 CT 04/07,Eye Lash,47.98,197,546
LASHMAKERS 402-935-7733 FL 02/17,Eyelash,90,197,501
LASHMAKERS 402-935-7733 FL 04/10,Eyelash,90,197,501
LASHMAKERS 402-935-7733 FL 11/02,Eyelash,90,197,501
LASHMAKERS 402-935-7733 FL 12/18,Eyelash,90,197,501
LDS CHURCH       DONATION   5133 4934        WEB ID: 2870834341,Meals and Entertainment,220,198,539
LDS CHURCH       DONATION   5322 4424        WEB ID: 2870834341,Meals and Entertainment,374,198,539
LEMONADE VENICE VENICE CA 10/20,Meals and Entertainment,3.83,199,539
Les Mills Media 18448154499 03/05,Personal,14.99,200,541
LIMITLESSLUXURIES.CO LIMITLESSLU XU NJ        07/24,Eye Lash,19.97,201,546
LITTLE CAESARS 003 OREM UT 01/03,Meals and Entertainment,8.51,202,539
LITTLE CAESARS 003 OREM UT 01/12,Meals and Entertainment,8.29,202,539
LITTLE CAESARS 003 OREM UT 02/26,Meals and Entertainment,8.51,202,539
LITTLE CAESARS 003 OREM UT 03/11,Meals and Entertainment,8.51,202,539
LITTLE CAESARS 003 OREM UT 03/20,Meals and Entertainment,5.39,202,539
LITTLE CAESARS 003 OREM UT 03/25,Meals and Entertainment,8.51,202,539
LITTLE CAESARS 003 OREM UT 05/07,Meals and Entertainment,8.54,202,539
LITTLE CAESARS 003 OREM UT 08/11,Meals and Entertainment,19.3,202,539
LITTLE CAESARS 003 OREM UT 08/26,Meals and Entertainment,8.09,202,539
LITTLE CAESARS 003 OREM UT 10/04,Meals and Entertainment,5.41,202,539
LITTLE CAESARS 003 OREM UT 10/21,Meals and Entertainment,11.63,202,539
LITTLE CAESARS 003 OREM UT 11/05,Meals and Entertainment,8.51,202,539
LITTLE CAESARS 003 OREM UT 11/17,Meals and Entertainment,8.51,202,539
LITTLE CAESARS 003 OREM UT 12/20,Meals and Entertainment,9.25,202,539
LITTLE CAESARS 005 RIVERTON UT 07/11,Meals and Entertainment,8.65,202,539
LITTLE CAESARS 005 RIVERTON UT 07/16,Meals and Entertainment,9.48,202,539
LITTLE CAESARS 005 RIVERTON UT 07/31,Meals and Entertainment,8.54,202,539
LITTLE CAESARS 015 BOUNTIFUL UT 12/12,Meals and Entertainment,5.59,202,539
LITTLE CAESARS 033 LINDON UT 08/15,Meals and Entertainment,8.09,202,539
LOVES TRAVEL S00095810 SALINA UT 09/23,Gas,2.05,203,516
LOVES TRAVEL S00095810 SALINA UT 09/23,Gas,1.95,203,516
LOWES #02296* RIVERTON UT 08/06,Repair & Maintenance,1.42,204,551
LOWES #02296* RIVERTON UT 08/06,Repair & Maintenance,1.41,204,551
LOWE'S #178 OREM UT 147579  01/18,Supplies,12.84,204,553
LUBE DOC OREM UT 10/17,Repair,55.69,205,520
LUSH US - 441 - CITY SALT LAKE C IT UT818158  05/10,Personal,43.65,206,541
LUSH US - 442 - FASH SALT LAKE C IT UT777471  12/17,Eyelash,24.52,206,501
MALAWI`S PIZZA PROVO UT 01/02,Meals and Entertainment,21.88,207,539
MAST STORE KNOXVILLE KNOXVILLE T N            07/31,Business Trip,9.41,208,524
MATSUMOTO SHAVE ICE HALEIWA HI 10/02,Meals and Entertainment,4.5,209,539
MAVERIK #254 SANDY UT 043659  02/26,Gas,20.07,210,516
MAVERIK #314 OREM UT 056723  12/15,Gas,30.76,210,516
MAVERIK #314 OREM UT 508924  12/05,Gas,1.95,210,516
MAVERIK #347 POCATELLO ID 587406  07/30,Gas,28.49,210,516
MAVERIK #358 LEHI UT 019510  05/23,Gas,34.29,210,516
MAVERIK #358 LEHI UT 445349  01/03,Gas,1.69,210,516
MAVERIK #399 OREM UT 05/15,Gas,36.21,210,516
MAVERIK #399 OREM UT 08/19,Gas,20.36,210,516
MAVERIK #420 WEST VALLEY UT 01/24,Gas,20.21,210,516
MAVERIK CNTRY STRE 321 PROVO UT 02/10,Gas,21.19,210,516
MAVERIK COUNTRY STOR SALT LAKE C IT UT464305  08/11,Gas,8.42,210,516
MCDONALD'S F11107 PROVO UT 08/21,Meals and Entertainment,5.82,211,539
MCDONALD'S F3334 OREM UT 01/02,Meals and Entertainment,8.64,211,539
MCDONALD'S F3334 OREM UT 07/19,Meals and Entertainment,13.28,211,539
MCDONALD'S F3334 OREM UT 10/20,Meals and Entertainment,6.65,211,539
MCDONALD'S F35201 SALT LAKE CIT UT           02/25,Meals and Entertainment,3.61,211,539
MEGAPLEX-04 SOUTH JORDAN UT 12/20,Meals and Entertainment,41.76,212,539
MENCHIES  056 - OREM PL OREM UT 06/15,Meals and Entertainment,5.8,213,539
MENCHIES  056 - OREM PL OREM UT 10/09,Meals and Entertainment,5.08,213,539
MENCHIES  056 - OREM PL OREM UT 11/13,Meals and Entertainment,0.44,213,539
MENCHIES 034 - SOUTH SOUTH JORDA N UT         01/26,Meals and Entertainment,17.97,213,539
MENCHIES 034 - SOUTH SOUTH JORDA N UT         07/16,Meals and Entertainment,11.14,213,539
MENCHIES 056 - OREM PL OREM UT 08/23,Meals and Entertainment,5.6,213,539
MENCHIES 056 - OREM PL OREM UT 08/25,Meals and Entertainment,5.6,213,539
MENCHIES 056 - OREM PL OREM UT 12/29,Meals and Entertainment,4.77,213,539
MENCHIES 056 OREM PLAZA OREM UT 09/04,Meals and Entertainment,5.75,213,539
MI RANCHITO OREM UT 08/24,Meals and Entertainment,13.75,214,539
MICHAELS STORES 8003 OREM UT 178532  05/03,Personal,6.44,215,541
MICHAELS STORES 8003 OREM UT 341123  08/13,Supplies,48.06,215,553
MIDICI PIZZA - OREM OREM UT 05/19,Meals and Entertainment,24.77,216,539
MIDICI PIZZA - OREM OREM UT 11/20,Meals and Entertainment,24.25,216,539
MIDICI PIZZA - OREM OREM UT 12/29,Meals and Entertainment,15.1,216,539
"MIDTOWN 360,LC OREM UT 01/16",Meals and Entertainment,612,217,539
"MIDTOWN 360,LC OREM UT 09/16",Rent or Lease,150,217,550
"MIDTOWN 360,LC OREM UT 11/04",Rent or Lease,1493.56,217,550
MIKAROSE OREM UT 07/11,Clothing,32.03,220,525
MILAGROS MEXICAN RESTA OREM UT 11/04,Meals and Entertainment,36.02,221,539
MIMIS CAFE 65 SANDY UT 10/08,Meals and Entertainment,53.23,222,539
MIMIS CAFE 65 SANDY UT 12/02,Meals and Entertainment,42.06,222,539
MOMENTUM SANDY UT 01/26,Meals and Entertainment,10.71,223,539
MONEY ORDER,Personal Expenses,5,224,572
MOOD DESIGNER FABRICS NEW YORK N Y            12/07,Supplies,12.5,225,553
MTA VENDING MACHINES NEW YORK NY 136341  12/07,Meals and Entertainment,3,226,539
MTA VENDING MACHINES NEW YORK NY 156187  12/07,Meals and Entertainment,3,226,539
MTA VENDING MACHINES NEW YORK NY 253131  12/07,Meals and Entertainment,3,226,539
MYRTLE ROSE PARK CITY UT 03/17,Meals and Entertainment,113.12,227,539
NATNL AUTO PRTECT COR 844-687-46 95 FL        02/17,Auto,289,228,515
Netflix.com netflix.com CA 01/31,Dues & Subscriptions,11.74,229,529
NETFLIX.COM NETFLIX.COM CA 01/31,Dues & Subscriptions,10.67,229,529
NETFLIX.COM NETFLIX.COM CA 02/28,Dues & Subscriptions,11.74,229,529
NETFLIX.COM NETFLIX.COM CA 02/28,Dues & Subscriptions,10.67,229,529
Netflix.com netflix.com CA 03/31,Dues & Subscriptions,11.74,229,529
Netflix.com netflix.com CA 03/31,Dues & Subscriptions,10.67,229,529
Netflix.com netflix.com CA 04/30,Dues & Subscriptions,10.67,229,529
Netflix.com netflix.com CA 05/31,Dues & Subscriptions,10.67,229,529
Netflix.com netflix.com CA 06/30,Dues & Subscriptions,10.67,229,529
Netflix.com netflix.com CA 07/31,Dues & Subscriptions,10.67,229,529
Netflix.com netflix.com CA 08/31,Dues & Subscriptions,10.67,229,529
Netflix.com netflix.com CA 09/30,Dues & Subscriptions,10.67,229,529
Netflix.com netflix.com CA 10/31,Dues & Subscriptions,10.67,229,529
Netflix.com netflix.com CA 11/30,Dues & Subscriptions,10.67,229,529
Netflix.com netflix.com CA 12/31,Dues & Subscriptions,11.74,229,529
Netflix.com Netflix.com CA 12/31,Dues & Subscriptions,10.67,229,529
NNT BELLA ELLA BOUT282 OREM UT 563661  09/27,Clothing,48.07,230,525
NNT BOHME          330 OREM UT 298630  12/24,Personal Expenses,28.02,231,572
NNT BOHME          570 OREM UT 138654  06/03,Personal Expenses,17.96,231,572
NNT BOHME          770 OREM UT 452389  12/29,Personal Expenses,72.65,231,572
NNT C-A-L RANCH STO88 SPANISH FO RK UT227375  10/13,Personal Expenses,50.15,232,572
NNT JACOB LAKE STOR562 FREDONIA AZ   770051  10/22,Personal Expenses,1.58,233,572
NNT SEARS ROEBUCK  760 PROVO UT 413513  09/08,Clothing,22.44,234,525
NOODLES & CO 701 MURRAY UT 787552  06/12,Meals and Entertainment,12.47,235,539
NOODLES & CO 705 OREM UT 05/02,Meals and Entertainment,8.61,235,539
Not Watsons Kitchen & B KNOXVILL E TN         08/04,Business Trip,32.31,236,524
NOTHING BUNDT CAKES - S SANDY UT 02/22,Meals and Entertainment,4.11,237,539
NOTHING BUNDT CAKES - S SANDY UT 06/01,Meals and Entertainment,16.44,237,539
NOTHING BUNDT CAKES - S SANDY UT 08/15,Meals and Entertainment,4.11,237,539
NOTHING BUNDT CAKES - S SANDY UT 10/20,Meals and Entertainment,32.96,237,539
NUTRITIONAL SPORTS SHOP OREM UT 11/27,Supplies,56.62,238,553
NWS POST MART OREM 480 OREM UT 000019  08/23,Shipping and delivery expense,3,239,552
OAK WOOD FIRE KITCHEN DRAPER UT 06/30,Meals and Entertainment,10.47,240,539
OFFICIAL CHECKS CHARGE,Bank Charges,8,241,522
OFFICIAL CHECKS CHARGE,Bank Charges,8,241,522
OLD SPAGHETTI FCTRY SALT LAKE CI T UT         11/25,Meals and Entertainment,39.07,242,539
